,plot,seq,seqcode,stage,stagenum,bact,fung,bulkdens,co3,inorgC,totalC,totalN,orgC,naohPt,naohPi,naohPo,resinP,totalP,pHwater,pHcacl2,pHbacl2,exchAl,exchCa,exchFe,exchK,exchMg,exchMn,exchNa,teb,ecec,basesat,soilmoist,root,nema_plant_root,nema_bact,nema_fung,nema_omni,nema_carni,collem,mites_fung,mites_pred,LAI,wet
1,B.HR.2,Jurien Bay,JB,5,5,0.0729736,0.87048,1.1,0,0,1.127,0.027,1.13,2.9,0.6,2.2,0.66,7.28,7.35,6.2,4.45,0.05,0.93,0.02,0.01,0.22,0,0.02,1.18,1.25,94.11,10.21021021,0.00968543182591366,0.0636766,0.2983573,0.041701,0.1176029,0.0267757,0.0486855049402085,0.0785522165531044,0.114600553689993,0.4625,1
2,B.L.4,Jurien Bay,JB,5,5,0.0567056,0.31806,1.1,0,0,1.046,0.026,1.05,2.9,0.5,2.5,0.31,5.37,6.51,5.68,4.36,0.02,0.78,0.01,0.01,0.09,0,0.02,0.89,0.93,95.81,6.360022714,0.0107541111925476,0.0418127,0.1664629,0.0958662,0.1628877,0.0170281,0.386763860866054,0.085031459136421,0.120934334620385,0.2775,1
3,B.L.6,Jurien Bay,JB,5,5,0.0465962,0.34038,1.1,0,0,1.003,0.025,1,3,0.6,2.4,0.34,5.63,6.54,5.83,4.59,0.03,0.56,0.01,0.01,0.07,0,0,0.64,0.68,94.75,8.467094703,0.00139754784860186,0.0429813,0.1490792,0.0449658,0.1491276,0.0035818,0.11297997623931,0.0766456520355046,0.0461826458617753,0.27,1
4,B.NL.1,Jurien Bay,JB,5,5,0.0582743,0.4929,1.1,0,0,1.31,0.035,1.31,2.6,0.6,1.9,0.48,8.72,7.3,6.18,4.78,0.05,0.7,0.02,0.01,0.1,0,0.01,0.81,0.88,92.37,6.414899121,0.00125197506198305,0.0270292,0.2090832,0.0778699,0.1761905,0.0211657,0.103828764813514,0.113701593495583,0.0971300744927201,0.32,1
5,GUI-BAS-A,Guilderton,GUI,5,5,0.0647815,0.54312,1.31,0,0,0.965,0.02,0.96,6.1,0,6.1,0.39,3.9,5.69,4.16,4.05,0.02,1.41,0.01,0.03,0.27,0,0.09,1.8,1.83,98.17,7.011359185,0.00185177,0.0547933,0.1354086,0.0566827,0.0705385,0.0310705,0.118796273567371,0.146756251430539,0.128624006563087,0.5725,2
6,GUI-BAS-B,Guilderton,GUI,5,5,0.0582162,0.50034,1.31,0,0,2.904,0.064,2.9,6.6,0,6.6,0.62,6.06,5.44,4,3.94,0.02,2.05,0.01,0.04,0.41,0,0.15,2.65,2.68,99.04,5.815538392,0.0110818313696266,0.0075703,0.0986611,0.0308254,0.0443332,0.0036614,0.0574101924942924,0.13364842695311,0.0893446796232788,0.2875,2
7,GUI-BAS-C,Guilderton,GUI,5,5,0.045318,0.49662,1.31,0,0,0.844,0.016,0.84,3.8,0,3.8,0.6,2.59,5.33,3.9,3.86,0.02,2.25,0.01,0.05,0.4,0,0.23,2.93,2.96,99.07,5.297098111,0.010239733483177,0.0077947,0.2004982,0.036159,0.020786,0.0091557,0.0901767886261085,0.102154690243761,0.208596176924202,0.3675,2
8,GUI-BAS-D,Guilderton,GUI,5,5,0.0597268,0.47988,1.31,0,0,1.582,0.036,1.58,5.9,0,5.9,0.91,4.48,5.67,4.14,4.12,0.01,1.5,0.01,0.05,0.28,0,0.12,1.95,1.98,98.98,7.763157895,0.00525652126982039,0.0066464,0.1032808,0.0229124,0.0326487,0.0086286,0.0819048128617622,0.188673388294054,0.258693710290883,0.39,2
9,GUI-QM-A,Guilderton,GUI,2,2,0.1083565,0.40176,1.33,29.3,3.5,4.978,0.055,1.47,65.4,32.9,32.5,3.04,120.27,8.09,7.43,8.59,0.01,5.23,0,0.03,0.28,0,0.04,5.58,5.59,99.77,7.079252004,0.00142840455177334,0.0315525,0.1780707,0.0265075,0.105346,0.0063276,0.227267670756523,0.053846928833078,0.094036039381726,0.4075,2
10,GUI-QM-B,Guilderton,GUI,2,2,0.094122,0.37944,1.33,39,4.7,5.474,0.051,0.8,46,23.5,22.6,2.44,129.9,8.26,7.42,8.65,0.01,5.24,0,0.03,0.35,0,0.12,5.75,5.76,99.83,6.719717065,0.00197140492388213,0.0332354,0.0790969,0.021994,0.0912343,0.006028,0.0308320417056256,0.0119629638604694,0.0629675263581448,0.5225,2
11,GUI-QM-C,Guilderton,GUI,2,2,0.1302602,0.86676,1.33,39.8,4.8,6,0.064,1.23,50.1,27.6,22.4,3.08,148.3,8.45,7.41,8.66,0.01,4.73,0,0.03,0.38,0,0.1,5.23,5.25,99.77,6.809795371,0.00138405312960608,0.0136851,0.2854074,0.0099637,0.1747857,0.0257497,0.161677642466824,0.0604517556446718,0.0905475648291455,0.505,2
12,GUI-QM-D,Guilderton,GUI,2,2,0.162099,0.57474,1.33,36.9,4.4,5.627,0.08,1.19,50.6,23.2,27.4,2.29,151.52,8.5,7.34,8.4,0.01,7.5,0,0.04,0.49,0,0.07,8.1,8.12,99.79,7.632398754,0.00165710990168771,0.0269398,0.2967999,0.0230441,0.2514381,0.0097723,0.0423985297769934,0.0179418898973522,0.0299853888591798,0.525,2
13,GUI-QO-A,Guilderton,GUI,3,3,0.136535,0.82956,1.23,23.8,2.9,4.552,0.083,1.69,55.4,9.4,46,1.8,2.57,8.46,7.38,8.28,0.02,8.8,0,0.06,0.42,0,0.06,9.34,9.36,99.78,10.5500821,0.00358949856670483,0.0576062,0.2790301,0.0206272,0.4368471,0.0111012,0.102497157259179,0.0414510544804082,0.0774012484523658,0.485,2
14,GUI-QO-B,Guilderton,GUI,3,3,0.1352568,0.58962,1.23,15.9,1.9,3.246,0.078,1.34,72.5,14,58.5,2.28,179.3,8.45,7.41,8.33,0.04,8.14,0,0.05,0.27,0,0.04,8.49,8.54,99.52,9.948415623,0.00303562428480664,0.0443753,0.2398144,0.0100452,0.2843553,0.0163372,0.0286911883618564,0.0344801685246084,0.030544898069707,0.5475,2
15,GUI-QO-C,Guilderton,GUI,3,3,0.1477483,0.51522,1.23,13,1.6,3.083,0.085,1.52,80.5,22.9,57.6,2.38,171.95,8.4,7.43,8.22,0.02,9.86,0,0.05,0.39,0,0.05,10.35,10.38,99.77,8.81573969,0.0024100580926425,0.0503918,0.3636971,0.0077596,0.6339138,0.0256523,0.142194853819998,0.0412070231854156,0.108555129140762,0.5825,2
16,GUI-QO-D,Guilderton,GUI,3,3,0.1661079,0.69192,1.23,15,1.8,3.649,0.087,1.85,69.2,15.8,53.4,2.47,162.2,8.36,7.43,8.31,0.02,8.12,0,0.04,0.33,0,0.04,8.52,8.54,99.76,9.760273973,0.00321735437377614,0.068277,0.4225051,0.0200204,0.7826826,0.027953,0.0363428529370903,0.0300886041758857,0.028817863215795,0.5025,2
17,GUI-QY-A,Guilderton,GUI,1,1,0.0095865,0.05394,1.35,44.7,5.4,5.748,0.02,0.38,23.4,21.1,2.3,2.6,130.28,8.79,7.66,6.56,0.01,17.57,0,0.03,1.31,0,0.1,19,19.01,99.92,4.404494382,0.000628678777312127,0.0035998,0.0959103,0.0086568,0.0287988,0,0.41221602241402,0.159858349935874,0.119230341842299,0.3325,2
18,GUI-QY-B,Guilderton,GUI,1,1,0.0422968,0.18972,1.35,34.2,4.1,4.754,0.024,0.65,43.2,35.4,7.8,5.21,145.79,8.65,7.62,8.5,0.01,3.5,0,0.03,0.34,0,0.08,3.96,3.96,99.83,5.217045002,0.00072675773387445,0.0072543,0.1799352,0.0132996,0.0716896,0.0063155,0.257476331880039,0.0501838593927178,0.130889336472034,0.38,2
19,GUI-QY-C,Guilderton,GUI,1,1,0.0790741,0.29946,1.35,43.6,5.2,6.446,0.039,1.22,51.2,42.4,8.8,8.09,176.42,8.51,7.58,8.47,0.01,2.99,0,0.04,0.22,0,0.07,3.33,3.34,99.71,5.223880597,0.000805323134157208,0.0236688,0.2446674,0.0730552,0.0845391,0.0079795,0.0768632393229686,0.0578678885446732,0.0620650599524772,0.4725,2
20,GUI-QY-D,Guilderton,GUI,1,1,0.0279461,0.08742,1.35,46,5.5,6.007,0.025,0.48,29,25.7,3.3,3.34,161.27,8.83,7.56,8.64,0.01,3.14,0,0.05,0.24,0,0.06,3.49,3.5,99.74,5.251798561,0.00143513538683409,0.0318976,0.1471109,0.0007061,0.0558207,0,0.149730200817965,0.0656652115485685,0.102843587471123,0.3375,2
21,GUI-SY-A,Guilderton,GUI,4,4,0.0862785,0.53196,1.26,0,0,1.062,0.026,1.06,9.9,1.9,7.9,0.95,13.83,6.26,5.08,4.25,0.09,3.35,0.03,0.07,0.74,0.01,0.2,4.37,4.5,97.17,10.29857205,0.00888242254591015,0.0104452,0.2084944,0.0362169,0.145277,0.0494952,0.0346657521393887,0.0929845583795664,0.103869757238355,0.9025,2
22,GUI-SY-B,Guilderton,GUI,4,4,0.0531034,0.28086,1.26,0,0,0.57,0.014,0.57,6.6,1.3,5.3,0.78,9.59,6.2,4.87,4.45,0.06,2.18,0.01,0.06,0.55,0,0.16,2.95,3.04,97.28,7.941056079,0.00582320587393819,0.00786,0.1320913,0.0220516,0.0555111,0.0323132,0.021860655652134,0.0811041540401111,0.0366733977687434,0.625,2
23,GUI-SY-C,Guilderton,GUI,4,4,0.0807009,0.46128,1.26,0,0,0.918,0.022,0.92,9.7,1.9,7.7,0.98,13.57,6.09,4.84,4.48,0.05,2.92,0.02,0.09,0.69,0,0.13,3.83,3.9,98.23,9.087332809,0.00950697699689505,0.0287473,0.1755121,0.0213114,0.0429294,0.0340369,0.114359575438713,0.0979154224242366,0.0810170518833724,0.715,2
24,GUI-SY-D,Guilderton,GUI,4,4,0.0690228,0.56358,1.26,0,0,0.852,0.018,0.85,7.7,1.8,5.9,0.71,9.59,6.1,4.81,4.53,0.05,1.95,0.02,0.05,0.42,0,0.12,2.54,2.61,97.27,9.488714878,0.00794892462050563,0.0105581,0.1598515,0.0037135,0.0380576,0,0.0409217041572492,0.099255558535194,0.160243717101147,0.5325,2
25,Q.M.18,Jurien Bay,JB,2,2,0.2228716,1.31502,1.34,84.4,10.1,12.314,0.177,2.19,58.1,29.5,28.6,3.46,394.98,8.05,7.42,8.16,0.01,9.49,0,0.03,0.77,0,0.08,10.37,10.37,99.95,18.01385681,0.000743063259644042,0.0741022,0.630395,0.0320158,1.2457591,0.0259,0.311315981920787,0.100934142077037,0.0444880859235098,0.5175,1
26,Q.M.23,Jurien Bay,JB,2,2,0.1748229,0.78678,1.34,80.8,9.7,11.36,0.131,1.67,48.8,24.3,24.5,3.57,295.78,8.47,7.45,8.43,0.02,6.45,0,0.02,0.34,0,0.03,6.84,6.86,99.75,10.81967213,0.000491255587193102,0.0480003,0.406641,0.019915,0.2287675,0.0473917,0.271135692230593,0.082754675983147,0.359157073069343,0.5525,1
27,Q.M.25,Jurien Bay,JB,2,2,0.1812139,1.02486,1.34,72.8,8.7,11.073,0.156,2.34,56.3,23.5,32.7,3.42,259.33,8.53,7.47,8.29,0,8.19,0,0.03,0.59,0,0.09,8.9,8.9,100,10.95551895,0.00122130975403135,0.0512292,0.8187398,0.1089549,0.1663094,0.037,0.0997612807362575,0.131130598482669,0.259155884523773,0.435,1
28,Q.M.7,Jurien Bay,JB,2,2,0.198121,0.87606,1.34,79.2,9.5,11.814,0.152,2.31,64.7,42.6,22.1,9.44,494.04,7.75,7.32,8.08,0,8.06,0,0.03,0.81,0,0.25,9.15,9.15,99.99,12.15370867,0.000697542630256458,0.0488522,1.3950027,0.0601803,0.634371,0.0349282,0.380030990947314,0.0409203709534631,0.147166957357592,0.395,1
29,Q.O.11,Jurien Bay,JB,3,3,0.1346758,0.71238,1.18,6.7,0.8,1.912,0.058,1.11,39.8,11.7,28.1,1.58,71.56,8.31,7.24,8.29,0.02,5.67,0,0.03,0.19,0,0.02,5.89,5.92,99.63,9.489402697,0.00243737321444423,0.0903832,0.2483029,0.028196,0.4992806,0.0494823,0.0974132566432504,0.060713041607815,0.126585781145981,0.3,1
30,Q.O.14,Jurien Bay,JB,3,3,0.1314803,0.465,1.18,16.6,2,3.566,0.073,1.57,53.7,18.2,35.5,2.17,128.63,8.35,7.3,8.28,0,5.68,0,0.02,0.32,0,0.03,6.06,6.07,99.92,9.59798995,0.00185176593595036,0.0425009,0.3778303,0.0203049,0.5127981,0.057431,0.203719045578516,0.0744858412790434,0.132233058248227,0.28,1
31,Q.O.20,Jurien Bay,JB,3,3,0.2661561,0.98022,1.18,75.7,9.1,11.51,0.209,2.42,56.5,13.7,42.8,2.9,505.8,8.4,7.32,8.22,0,13.11,0,0.05,0.76,0,0.08,13.99,14,99.99,13.21112516,0.00252891010830806,0.2489723,0.2742535,0.0290265,0.3565576,0.0415734,0.0993076511686672,0.0891869590267951,0.133578025436173,0.3425,1
32,Q.O.4,Jurien Bay,JB,3,3,0.0858718,0.33666,1.18,78.8,9.5,10.55,0.077,1.09,42.8,31.3,11.5,3.48,286.53,8.14,7.17,8.56,0.02,4.27,0.03,0.02,0.3,0,0,4.59,4.64,99,10.50024765,0.00167616766122158,0.0082993,0.3055527,0.0396983,0.4027929,0.0204716,0.214462668389447,0.0789541623023444,0.0407109272299272,0.5,1
33,Q.Y.12,Jurien Bay,JB,1,1,0.0173719,0.093,1.26,90.8,10.9,10.948,0.029,0.05,23.1,23.5,0,3.07,226.74,8.98,7.81,7.77,0,29.61,0,0,2.62,0,0.1,32.33,32.33,100,10.77788191,0.000191690686687068,0.0007465,0.0930672,0.0097463,0.0325154,0,0.292529616636009,0.0831453883141158,0.0593491316058035,0.3875,1
34,Q.Y.16,Jurien Bay,JB,1,1,0.041832,0.39804,1.26,84.1,10.1,10.706,0.03,0.61,24.4,24.3,0,4.37,258.16,8.94,7.78,7.96,0.01,8.47,0,0.01,0.5,0,0.02,9,9.01,99.93,11.24620061,0.000448699081893718,0.0102109,0.2936297,0.0252655,0.1026329,0.0096873,0.289742012878222,0.0738366076509119,0.0879325166949032,0.44,1
35,Q.Y.7,Jurien Bay,JB,1,1,0.0666988,0.38688,1.26,90.5,10.9,10.88,0.029,0.02,35.3,32.6,2.7,7.2,267.7,8.82,7.73,8.64,0.02,3.41,0,0.01,0.24,0,0.04,3.71,3.73,99.42,11.49612719,0.000820721889112608,0.0523483,0.2597635,0.020872,0.0377042,0,0.0684898690649439,0.140615239068717,0.0649305846689674,0.2875,1
36,Q.Y.8,Jurien Bay,JB,1,1,0.0603078,0.75702,1.26,82.2,9.9,11.049,0.021,1.18,26.1,25,1.2,4.66,231.1,8.9,7.75,8.23,0.01,14.94,0,0,1.05,0,0.07,16.06,16.06,99.96,13.45565749,0.000717566105916536,0.0106241,0.1827528,0.0088316,0.0391738,0.0064707,0.104250862333181,0.0823321275076487,0.142813078699455,0.3125,1
37,S.W.17,Jurien Bay,JB,4,4,0.08715,0.64356,1.39,0,0,0.848,0.032,0.85,9.7,2.3,7.3,0.55,14.18,6.05,5.46,5.19,0.02,1.78,0.02,0.03,0.29,0,0.03,2.13,2.17,97.95,7.367972743,0.00107152275759143,0.012319,0.2932691,0.0302425,0.2349482,0.0164253,0.107201599554266,0.24784575032677,0.121746395295786,0.385,1
38,S.W.26,Jurien Bay,JB,4,4,0.0839545,0.47988,1.39,0,0,0.903,0.029,0.9,9.6,2.7,6.8,0.4,16.92,6.06,5.42,5.18,0,1.22,0.01,0.02,0.2,0,0.01,1.44,1.45,99.18,5.434255216,0.00350972756020413,0.0502534,0.4090804,0.0696495,0.3752255,0.0130483,0.124203067371289,0.135564769480783,0.114078705160362,0.6975,1
39,S.W.36,Jurien Bay,JB,4,4,0.1206156,1.08252,1.39,0,0,0.815,0.028,0.82,10.5,2.5,8.1,0.65,20.09,6.13,5.43,5.19,0.02,1.9,0,0.03,0.27,0,0,2.2,2.22,99.02,10.91758709,0.0108363218864658,0.0678082,0.5635617,0.0926712,0.4580822,0.0159296,0.0385750278600315,0.148078471158892,0.0332076167464009,0.395,1
40,S.W.6,Jurien Bay,JB,4,4,0.1027789,0.81654,1.39,0,0,0.651,0.018,0.65,11.1,3.6,7.5,0.66,21.23,5.63,5.16,5.07,0.05,1.77,0.01,0.06,0.26,0.01,0.01,2.1,2.17,96.81,13.96768402,0.00236405882101832,0.0262167,0.1441919,0.0934653,0.1682239,0.0101044,0.211112427304356,0.141592254391505,0.248732875137857,0.5725,1
41,WAR-BAS-A,Warren,WAR,5,5,0.1390333,2.16132,1.26,0,0,1.092,0.027,1.09,12.5,2.5,10,3.8,7.64,5.12,3.92,4.01,0.02,1.41,0,0.05,0.46,0.04,0.07,1.99,2.05,96.79,14.93190661,0.00344069304473306,0.1368039,0.2593507,0.0922509,0.2583024,0.119402,0.20337940172728,0.24818155106144,0.192491245968367,1.1725,4
42,WAR-BAS-B,Warren,WAR,5,5,0.0758786,0.9393,1.26,0,0,0.523,0.014,0.52,8.8,1.4,7.4,1.25,6.09,5.01,3.8,4.01,0.02,0.55,0.03,0.03,0.24,0.03,0.06,0.87,0.95,92.09,11.62790698,0.00142189245757245,0.0638254,0.1173716,0.0325148,0.0578041,0.038192,0.0990088100055936,0.353277310387812,0.162370595362959,1.13,4
